...1,num,list,cond,lang,type,mat_dur,correct_key,exp_num,cs,exp1_key.keys,exp1_key.rt,exp1_key.corr,exp2_key.keys,exp2_key.rt,participant,group,prof
13,23,l2,TRUE,es,na,0.806296,NA,2,1,NA,NA,NA,['rshift'],[3.040092499984894],12,exp_g1,8
14,24,l2,TRUE,es,na,0.817267,NA,2,1,NA,NA,NA,['rshift'],[2.624607208010275],12,exp_g1,8
15,25,l2,TRUE,es,na,0.909694,NA,2,1,NA,NA,NA,['rshift'],[2.6650084580178373],12,exp_g1,8
16,26,l2,TRUE,es,na,0.977641,NA,2,1,NA,NA,NA,['rshift'],[2.6904930000309832],12,exp_g1,8
17,27,l2,TRUE,es,na,0.619246,NA,2,1,NA,NA,NA,['rshift'],[2.8630681239883415],12,exp_g1,8
18,28,l2,TRUE,es,na,0.937816,NA,2,1,NA,NA,NA,['rshift'],[2.866417540994007],12,exp_g1,8
19,29,l2,TRUE,es,na,1.122001,NA,2,1,NA,NA,NA,['rshift'],[2.755495874036569],12,exp_g1,8
20,30,l2,TRUE,es,na,1.133667,NA,2,1,NA,NA,NA,['rshift'],[2.992524624976795],12,exp_g1,8
21,61,l1,FALSE,en,na,-,rshift,1,NA,rshift,2.097813916,1,NA,NA,12,exp_g1,8
22,62,l1,FALSE,en,na,-,lshift,1,NA,lshift,2.167530792,1,NA,NA,12,exp_g1,8
23,63,l1,FALSE,en,na,0.351376,rshift,1,NA,rshift,2.126005,1,NA,NA,12,exp_g1,8
24,64,l1,FALSE,en,na,0.428572,lshift,1,NA,lshift,1.938358374,1,NA,NA,12,exp_g1,8
25,65,l1,FALSE,en,na,-,rshift,1,NA,rshift,1.938052583,1,NA,NA,12,exp_g1,8
26,66,l1,FALSE,en,na,0.780001,lshift,1,NA,lshift,2.565590291,1,NA,NA,12,exp_g1,8
27,67,l1,FALSE,en,na,0.950804,rshift,1,NA,rshift,2.457005875,1,NA,NA,12,exp_g1,8
28,68,l1,FALSE,en,na,0.600784,lshift,1,NA,lshift,2.371385541,1,NA,NA,12,exp_g1,8
29,69,l1,FALSE,en,na,-,rshift,1,NA,rshift,2.358858541,1,NA,NA,12,exp_g1,8
30,70,l1,FALSE,en,na,-,lshift,1,NA,lshift,2.470402167,1,NA,NA,12,exp_g1,8
31,71,l1,FALSE,en,na,1.261129,rshift,1,NA,rshift,2.678988708,1,NA,NA,12,exp_g1,8
